file_number,hd_gridscore,gridness3score,mean_firing_rate,peak_firing_rate,filename
1,0.20794,1.046573,0.377231,1.642147,0823_S1_0824_S1_S2_lightVSdarkness_merged.mat
2,0.275431,1.269989,2.715036,6.04931,180815_S1_S2_lightVSdarkness_merged.mat
3,0.187145,0.943629,1.991561,9.363167,180815_S1_S2_lightVSdarkness_merged.mat
4,0.248747,0.656337,4.126955,27.488306,190720_S2_lightVSdarkness.mat
5,0.1955,0.812511,0.695409,5.073238,190720_S2_lightVSdarkness.mat
6,0.191331,0.544371,0.504236,2.329337,190720_S2_lightVSdarkness.mat
7,0.170669,0.740742,0.450984,2.841266,190720_S2_lightVSdarkness.mat
8,0.208328,0.546547,1.778558,11.960883,190805_S3_LightVSdarkness_42min.mat
9,0.171713,1.072788,0.737821,7.536848,190805_S3_LightVSdarkness_42min.mat
10,0.383081,1.345638,2.200024,9.931144,190812_S2_LightVSdarkness_72min.mat
11,0.218007,0.854311,0.157728,1.287991,190812_S2_LightVSdarkness_72min.mat
12,0.225236,1.166994,0.248629,1.620993,191101_S1_lightVSdarkness_cell9.mat
13,0.262535,1.351924,0.895085,5.455696,191103_S1_lightVSdarkness_cells13and14.mat
14,0.310779,1.173702,1.584137,20.484011,191105_S1_lightVSdarkness_cell15.mat
15,0.214542,0.982168,1.09779,11.235696,191108_S1_lightVSdarkness_cells11and12.mat
16,0.27222,1.411135,0.388377,3.253678,191108_S1_lightVSdarkness_cells11and12.mat
17,0.448143,1.493837,2.0924,9.683336,GCaMP6fChAT10_gridCell_mergedSessions.mat
18,0.350828,1.431528,1.759297,11.365649,merged_session_ArchTChAT22_cell3.mat
19,0.318618,1.279777,2.414326,10.859737,merged_session_ArchTChAT22_cell4.mat
20,0.277147,1.065613,2.000826,13.550165,merged_session_cell8_ArchTChAT22.mat
21,0.262293,1.235174,3.729607,25.395113,Merged_sessions.mat
22,0.271445,1.16058,0.934193,6.847637,merged_sessions_ArchTChAT22_cell2.mat
23,0.374554,1.380812,2.317762,13.829443,merged_sessions_ArchTChAT#22_cell1.mat
24,0.314336,1.498581,1.27804,17.442422,merged_sessions_cells5to7_ArchTChAT22.mat
25,0.265871,1.021264,1.983345,10.214333,merged_sessions_cells5to7_ArchTChAT22.mat
26,0.300224,1.224374,0.915417,7.799594,merged_sessions_cells5to7_ArchTChAT22.mat
27,0.245484,0.886538,0.830269,5.06213,190807_S1_LightVSdarkness_42min.mat
28,0.203835,0.843163,0.54989,4.047992,190809_S1_LightVSdarkness_42min.mat
29,0.205766,1.091689,0.67014,6.593474,merged_sessions_gridCells.mat